name,unicode,sideBar,sortName,category,subCategory,anchors,accents,production,decompose,script,altNames,description
triisap-khmer,17CA,Marks,kh192,Mark,Nonspacing,"_top, top",,uni17CA,,khmer,,KHMER SIGN TRIISAP
bantoc-khmer,17CB,Marks,kh194,Mark,Nonspacing,"_top, top",,uni17CB,,khmer,,KHMER SIGN BANTOC
robat-khmer,17CC,Marks,kh196,Mark,Nonspacing,"_top, top",,uni17CC,,khmer,,KHMER SIGN ROBAT
toandakhiat-khmer,17CD,Marks,kh198,Mark,Nonspacing,"_top, top",,uni17CD,,khmer,,KHMER SIGN TOANDAKHIAT
kakabat-khmer,17CE,Marks,kh200,Mark,Nonspacing,"_top, top",,uni17CE,,khmer,,KHMER SIGN KAKABAT
ahsda-khmer,17CF,Marks,kh202,Mark,Nonspacing,"_top, top",,uni17CF,,khmer,,KHMER SIGN AHSDA
samyoksannya-khmer,17D0,Marks,kh204,Mark,Nonspacing,"_top, top",,uni17D0,,khmer,,KHMER SIGN SAMYOK SANNYA
viriam-khmer,17D1,Marks,kh206,Mark,Nonspacing,"_top, top",,uni17D1,,khmer,,KHMER SIGN VIRIAM
bathamasat-khmer,17D3,Marks,kh208,Mark,Nonspacing,_top,,uni17D3,,khmer,,KHMER SIGN BATHAMASAT
atthacan-khmer,17DD,Marks,kh210,Mark,Nonspacing,_top,,uni17DD,,khmer,,KHMER SIGN ATTHACAN
uMark-khmer,17BB,Vowels/Dependent,kh212,Mark,Nonspacing,_bottom,,uni17BB,,khmer,,KHMER VOWEL SIGN U
uuMark-khmer,17BC,Vowels/Dependent,kh214,Mark,Nonspacing,_bottom,,uni17BC,,khmer,,KHMER VOWEL SIGN UU
uaMark-khmer,17BD,Vowels/Dependent,kh216,Mark,Nonspacing,_bottom,,uni17BD,,khmer,,KHMER VOWEL SIGN UA
oe-khmer,17BE,Vowels/Dependent,kh218,Letter,Spacing,,,uni17BE,"e-khmer, dottedCircle, iiMark-khmer",khmer,,KHMER VOWEL SIGN OE
ya-khmer,17BF,Vowels/Dependent,kh220,Letter,Spacing,,,uni17BF,"e-khmer, dottedCircle, ya-khmer.right1",khmer,,KHMER VOWEL SIGN YA
ya-khmer.post,,Vowels/Dependent,,Letter,Spacing,top,,uni17BF.post,,khmer,,KHMER VOWEL SIGN YA
ya-khmer.post.low,,Vowels/Dependent,,Letter,Spacing,top,,uni17BF.post.low,,khmer,,KHMER VOWEL SIGN YA
ya-khmer.post.low2,,Vowels/Dependent,,Letter,Spacing,top,,uni17BF.post.low2,,khmer,,KHMER VOWEL SIGN YA
ie-khmer,17C0,Vowels/Dependent,kh222,Letter,Spacing,,,uni17C0,"e-khmer, dottedCircle, ie-khmer.right1",khmer,,KHMER VOWEL SIGN IE
ie-khmer.post,,Vowels/Dependent,,Letter,Spacing,top,,uni17C0.post,,khmer,,KHMER VOWEL SIGN IE
ie-khmer.post.low,,Vowels/Dependent,,Letter,Spacing,top,,uni17C0.post.low,,khmer,,KHMER VOWEL SIGN IE
ie-khmer.post.low2,,Vowels/Dependent,,Letter,Spacing,top,,uni17C0.post.low2,,khmer,,KHMER VOWEL SIGN IE
